Site,Título,URL,Dia,Mês,bolsonaro,caracteres total,palavras total,caracteres sem nome,palavras sem nome
Valor,"Ex-assessor de Flávio Bolsonaro passou 226 dias no exterior, diz MP",https://www.valor.com.br/politica/6259197/ex-assessor-de-flavio-bolsonaro-passou-226-dias-no-exterior-diz-mp,2019-05-16,2019-05,Sim,67,11,51,9
Congresso em Foco,Bolsonaro fala de investigação sobre Flávio: “Querem me atingir? Eu abro meu sigilo. Não vão me pegar”,https://congressoemfoco.uol.com.br/corrupcao/bolsonaro-fala-de-investigacao-sobre-flavio-querem-me-atingir-eu-abro-meu-sigilo-nao-vao-me-pegar/,2019-05-16,2019-05,Sim,102,9,86,7
R7,"Ex-assessor, imóveis, renda: quais são as suspeitas do Ministério Público sobre Flávio Bolsonaro</a",http://noticias.r7.com/brasil/ex-assessor-imoveis-renda-quais-sao-as-suspeitas-do-ministerio-publico-sobre-flavio-bolsonaro-16052019,2019-05-16,2019-05,Sim,99,12,83,10
Folha,Podcast retoma fato por fato do caso Flávio Bolsonaro; ouça,https://www1.folha.uol.com.br/podcasts/2019/05/podcast-retoma-fato-por-fato-do-caso-flavio-bolsonaro-ouca.shtml,2019-05-17,2019-05,Sim,59,7,43,5
O Globo,A discrição de Flávio no Senado após ter digilo quebrado,https://epoca.globo.com/a-discricao-de-flavio-no-senado-apos-ter-digilo-quebrado-23673052,2019-05-17,2019-05,Não,56,1,50,0
O Globo,MP investigará parentes de ex-mulher de Bolsonaro nomeados nos gabinetes dele e de Flávio,https://oglobo.globo.com/brasil/mp-investigara-parentes-de-ex-mulher-de-bolsonaro-nomeados-nos-gabinetes-dele-de-flavio-23673073,2019-05-17,2019-05,Sim,89,2,73,0
O Globo,A discrição de Flávio no Senado após ter sigilo quebrado,https://epoca.globo.com/a-discricao-de-flavio-no-senado-apos-ter-sigilo-quebrado-23673052,2019-05-17,2019-05,Não,56,1,50,0
O Globo,MP investigará parentes de ex-mulher de Bolsonaro nomeados por ele e Flávio,https://oglobo.globo.com/brasil/mp-investigara-parentes-de-ex-mulher-de-bolsonaro-nomeados-por-ele-flavio-23673073,2019-05-17,2019-05,Sim,75,2,59,0
O Globo,"MP mira depósito de R$ 90 mil feito por assessor de Flávio Bolsonaro na conta da mãe, que não lembra da transação",https://oglobo.globo.com/brasil/mp-mira-deposito-de-90-mil-feito-por-assessor-de-flavio-bolsonaro-na-conta-da-mae-que-nao-lembra-da-transacao-23673741,2019-05-17,2019-05,Sim,113,2,97,0
O Globo,"Carta distribuída por Bolsonaro é estratégia populista e cria cortina de fumaça para denúncias contra Flávio, dizem analistas",https://oglobo.globo.com/brasil/carta-distribuida-por-bolsonaro-estrategia-populista-cria-cortina-de-fumaca-para-denuncias-contra-flavio-dizem-analistas-23674637,2019-05-17,2019-05,Sim,125,5,109,3
O Globo,Caso Flávio Bolsonaro acende cobrança por instalação de Conselho de Ética no Senado,https://oglobo.globo.com/brasil/caso-flavio-bolsonaro-acende-cobranca-por-instalacao-de-conselho-de-etica-no-senado-23674692,2019-05-17,2019-05,Sim,83,4,67,2
O Globo,"Texto divulgado por Bolsonaro é estratégia populista e cria cortina de fumaça para denúncias contra Flávio, dizem analistas",https://oglobo.globo.com/brasil/texto-divulgado-por-bolsonaro-estrategia-populista-cria-cortina-de-fumaca-para-denuncias-contra-flavio-dizem-analistas-23674637,2019-05-17,2019-05,Sim,123,5,107,3
O Globo,Flávio Bolsonaro adere a aplicativo de mensagens com criptografia máxima,https://epoca.globo.com/guilherme-amado/flavio-bolsonaro-adere-aplicativo-de-mensagens-com-criptografia-maxima-23675432,2019-05-17,2019-05,Sim,72,6,56,4
Valor,Bolsonaro cita risco de impeachment e diz que querem atingi-lo no caso Flávio,https://www.valor.com.br/politica/6259977/bolsonaro-cita-risco-de-impeachment-e-diz-que-querem-atingi-lo-no-caso-flavio,2019-05-17,2019-05,Sim,77,9,61,7
Valor,Caso Flávio torna-se teste à independência de Moro,https://www.valor.com.br/politica/6259965/caso-flavio-torna-se-teste-independencia-de-moro,2019-05-17,2019-05,Não,50,4,44,3
